date,month,season,hour,year,holiday,temperature,feeling_temp,humidity,winspeed,casual,registered,count,work yes or not,am or pm,Day of the week
2011/1/3,1,winter,5,2011,no,-0.48,-6.9976,47,19.0012,0,3,3,1,am,1
2011/1/3,1,winter,6,2011,no,-1.42,-8.9974,50,26.0027,0,30,30,1,am,1
2011/1/3,1,winter,7,2011,no,-1.42,-6.9976,50,12.998,1,63,64,1,am,1
2011/1/3,1,winter,8,2011,no,-1.42,-8.0008,50,19.0012,1,153,154,1,am,1
2011/1/3,1,winter,9,2011,no,-0.48,-6.9976,43,26.0027,7,81,88,1,am,1
2011/1/3,1,winter,10,2011,no,0.4599999999999991,-4.9978,43,16.997899999999998,11,33,44,1,am,1
2011/1/3,1,winter,11,2011,no,1.4000000000000004,-4.0012,40,22.0028,10,41,51,1,am,1
2011/1/3,1,winter,12,2011,no,2.34,-2.0014,35,19.9995,13,48,61,1,am,1
2011/1/3,1,winter,13,2011,no,3.28,-2.0014,35,19.0012,8,53,61,1,pm,1
2011/1/3,1,winter,14,2011,no,4.220000000000001,-0.0016,30,19.0012,11,66,77,1,pm,1
2011/1/3,1,winter,15,2011,no,4.220000000000001,-0.0016,30,16.997899999999998,14,58,72,1,pm,1
2011/1/3,1,winter,16,2011,no,4.220000000000001,-0.0016,30,16.997899999999998,9,67,76,1,pm,1
2011/1/3,1,winter,17,2011,no,3.28,-0.9982,30,15.0013,11,146,157,1,pm,1
2011/1/3,1,winter,18,2011,no,3.28,1.0015999999999998,32,7.0015,9,148,157,1,pm,1
2011/1/3,1,winter,19,2011,no,1.4000000000000004,1.0015999999999998,47,0,8,102,110,1,pm,1
2011/1/3,1,winter,20,2011,no,1.4000000000000004,-0.9982,47,7.0015,3,49,52,1,pm,1
2011/1/3,1,winter,21,2011,no,0.4599999999999991,-2.998,64,8.9981,3,49,52,1,pm,1
2011/1/3,1,winter,22,2011,no,-1.42,-6.001,69,8.9981,0,20,20,1,pm,1
2011/1/3,1,winter,23,2011,no,0.4599999999999991,-2.0014,55.00000000000001,7.0015,1,11,12,1,pm,1
2011/1/4,1,winter,0,2011,no,-0.48,-4.0012,55.00000000000001,7.0015,0,5,5,1,am,2
2011/1/4,1,winter,1,2011,no,-0.48,-4.0012,59,7.0015,0,2,2,1,am,2
2011/1/4,1,winter,2,2011,no,-1.42,-6.001,63,8.9981,0,1,1,1,am,2
2011/1/4,1,winter,4,2011,no,-1.42,-4.0012,63,6.0032,0,2,2,1,am,2
2011/1/4,1,winter,5,2011,no,-2.36,-6.001,68,7.0015,0,4,4,1,am,2
2011/1/4,1,winter,6,2011,no,-2.36,-6.001,74,7.0015,0,36,36,1,am,2
2011/1/4,1,winter,7,2011,no,-2.36,-6.001,74,8.9981,2,92,94,1,am,2
2011/1/4,1,winter,8,2011,no,-1.42,-6.001,69,11.0014,2,177,179,1,am,2
2011/1/4,1,winter,9,2011,no,-0.48,-6.001,64,15.0013,2,98,100,1,am,2
2011/1/4,1,winter,10,2011,no,-0.48,-6.9976,69,22.0028,5,37,42,1,am,2
2011/1/4,1,winter,11,2011,no,2.34,-2.0014,51,19.9995,7,50,57,1,am,2
2011/1/4,1,winter,12,2011,no,2.34,-0.9982,51,11.0014,12,66,78,1,am,2
2011/1/4,1,winter,13,2011,no,3.28,-0.9982,56.00000000000001,12.998,18,79,97,1,pm,2
2011/1/4,1,winter,14,2011,no,4.220000000000001,1.0015999999999998,52,15.0013,9,54,63,1,pm,2
2011/1/4,1,winter,15,2011,no,5.160000000000002,1.9982000000000009,52,16.997899999999998,17,48,65,1,pm,2
2011/1/4,1,winter,16,2011,no,6.1,3.0014000000000003,49,16.997899999999998,15,68,83,1,pm,2
2011/1/4,1,winter,17,2011,no,5.160000000000002,1.9982000000000009,48,15.0013,10,202,212,1,pm,2
2011/1/4,1,winter,18,2011,no,4.220000000000001,1.0015999999999998,48,12.998,3,179,182,1,pm,2
2011/1/4,1,winter,19,2011,no,3.28,1.0015999999999998,48,7.0015,2,110,112,1,pm,2
2011/1/4,1,winter,20,2011,no,3.28,1.0015999999999998,48,7.0015,1,53,54,1,pm,2
2011/1/4,1,winter,21,2011,no,2.34,1.9982000000000009,64,0,0,48,48,1,pm,2
2011/1/4,1,winter,22,2011,no,2.34,1.0015999999999998,64,6.0032,1,34,35,1,pm,2
2011/1/4,1,winter,23,2011,no,1.4000000000000004,-0.9982,69,6.0032,2,9,11,1,pm,2
2011/1/5,1,winter,0,2011,no,1.4000000000000004,1.0015999999999998,64,0,0,6,6,1,am,3
2011/1/5,1,winter,1,2011,no,-0.48,-2.998,74,6.0032,0,6,6,1,am,3
2011/1/5,1,winter,2,2011,no,-0.48,-2.998,74,6.0032,0,2,2,1,am,3
2011/1/5,1,winter,4,2011,no,3.28,-0.9982,48,15.0013,0,2,2,1,am,3
2011/1/5,1,winter,5,2011,no,2.34,-0.9982,47,11.0014,0,3,3,1,am,3
2011/1/5,1,winter,6,2011,no,1.4000000000000004,-2.998,47,15.0013,0,33,33,1,am,3
2011/1/5,1,winter,7,2011,no,0.4599999999999991,-4.0012,43,12.998,1,87,88,1,am,3
2011/1/5,1,winter,8,2011,no,1.4000000000000004,-4.0012,40,19.9995,3,192,195,1,am,3
2011/1/5,1,winter,9,2011,no,2.34,-2.998,37,22.0028,6,109,115,1,am,3
2011/1/5,1,winter,10,2011,no,2.34,-2.998,37,22.0028,4,53,57,1,am,3
2011/1/5,1,winter,11,2011,no,4.220000000000001,-0.9982,33,22.0028,12,34,46,1,am,3
2011/1/5,1,winter,12,2011,no,4.220000000000001,-0.9982,33,22.0028,5,74,79,1,am,3
2011/1/5,1,winter,13,2011,no,5.160000000000002,1.0015999999999998,30,19.9995,6,65,71,1,pm,3
2011/1/5,1,winter,14,2011,no,6.1,3.0014000000000003,28.000000000000004,12.998,10,52,62,1,pm,3
2011/1/5,1,winter,15,2011,no,6.1,3.0014000000000003,28.000000000000004,12.998,7,55,62,1,pm,3
2011/1/5,1,winter,16,2011,no,6.1,5.001199999999997,28.000000000000004,6.0032,4,85,89,1,pm,3
2011/1/5,1,winter,17,2011,no,3.28,-0.9982,38,12.998,4,186,190,1,pm,3
2011/1/5,1,winter,18,2011,no,3.28,-0.0016,38,8.9981,3,166,169,1,pm,3
2011/1/5,1,winter,19,2011,no,3.28,1.0015999999999998,38,7.0015,5,127,132,1,pm,3
2011/1/5,1,winter,20,2011,no,2.34,-0.9982,47,11.0014,7,82,89,1,pm,3
2011/1/5,1,winter,21,2011,no,1.4000000000000004,-2.998,51,12.998,3,40,43,1,pm,3
2011/1/5,1,winter,22,2011,no,0.4599999999999991,-2.998,55.00000000000001,8.9981,1,41,42,1,pm,3
2011/1/5,1,winter,23,2011,no,1.4000000000000004,1.0015999999999998,47,0,1,18,19,1,pm,3
2011/1/6,1,winter,0,2011,no,0.4599999999999991,-0.0016,55.00000000000001,0,0,11,11,1,am,4
2011/1/6,1,winter,1,2011,no,-0.48,-0.9982,64,0,0,4,4,1,am,4
2011/1/6,1,winter,2,2011,no,-0.48,-0.9982,64,0,0,2,2,1,am,4
2011/1/6,1,winter,4,2011,no,-0.48,-2.998,64,6.0032,0,1,1,1,am,4
2011/1/6,1,winter,5,2011,no,-1.42,-4.0012,69,6.0032,0,4,4,1,am,4
2011/1/6,1,winter,6,2011,no,-1.42,-4.9978,63,7.0015,0,36,36,1,am,4
2011/1/6,1,winter,7,2011,no,-0.48,-0.9982,59,0,0,95,95,1,am,4
2011/1/6,1,winter,8,2011,no,-0.48,-0.9982,59,0,3,216,219,1,am,4
2011/1/6,1,winter,9,2011,no,0.4599999999999991,-0.0016,51,0,6,116,122,1,am,4
2011/1/6,1,winter,10,2011,no,1.4000000000000004,1.0015999999999998,47,0,3,42,45,1,am,4
2011/1/6,1,winter,11,2011,no,2.34,1.0015999999999998,44,6.0032,2,57,59,1,am,4
2011/1/6,1,winter,12,2011,no,4.220000000000001,3.0014000000000003,35,0,6,78,84,1,am,4
2011/1/6,1,winter,13,2011,no,4.220000000000001,1.9982000000000009,35,7.0015,12,55,67,1,pm,4
2011/1/6,1,winter,14,2011,no,5.160000000000002,1.9982000000000009,36,11.0014,11,59,70,1,pm,4
2011/1/6,1,winter,15,2011,no,5.160000000000002,1.9982000000000009,36,0,8,54,62,1,pm,4
2011/1/6,1,winter,16,2011,no,4.220000000000001,1.0015999999999998,38,11.0014,12,74,86,1,pm,4
2011/1/6,1,winter,17,2011,no,2.34,-0.9982,51,11.0014,9,163,172,1,pm,4
2011/1/6,1,winter,18,2011,no,2.34,-0.9982,51,8.9981,5,158,163,1,pm,4
2011/1/6,1,winter,19,2011,no,2.34,1.0015999999999998,55.00000000000001,6.0032,3,109,112,1,pm,4
2011/1/6,1,winter,20,2011,no,1.4000000000000004,-2.0014,51,11.0014,3,66,69,1,pm,4
2011/1/6,1,winter,21,2011,no,2.34,-2.0014,55.00000000000001,15.0013,0,48,48,1,pm,4
2011/1/6,1,winter,22,2011,no,2.34,-2.0014,51,19.0012,1,51,52,1,pm,4
2011/1/6,1,winter,23,2011,no,1.4000000000000004,-2.998,59,12.998,4,19,23,1,pm,4
2011/1/7,1,winter,0,2011,no,1.4000000000000004,-2.998,64,12.998,4,13,17,1,am,5
2011/1/7,1,winter,1,2011,no,1.4000000000000004,-2.998,69,15.0013,2,5,7,1,am,5
2011/1/7,1,winter,2,2011,no,1.4000000000000004,-2.998,69,15.0013,0,1,1,1,am,5
2011/1/7,1,winter,4,2011,no,1.4000000000000004,-2.0014,69,8.9981,0,1,1,1,am,5
2011/1/7,1,winter,5,2011,no,2.34,1.9982000000000009,55.00000000000001,0,0,5,5,1,am,5
2011/1/7,1,winter,6,2011,no,1.4000000000000004,1.0015999999999998,69,0,8,26,34,1,am,5
2011/1/7,1,winter,7,2011,no,1.4000000000000004,-2.0014,69,8.9981,8,76,84,1,am,5
2011/1/7,1,winter,8,2011,no,1.4000000000000004,-2.998,51,16.997899999999998,20,190,210,1,am,5
2011/1/7,1,winter,9,2011,no,1.4000000000000004,-4.0012,47,19.9995,9,125,134,1,am,5
2011/1/7,1,winter,10,2011,no,2.34,-2.998,37,22.0028,16,47,63,1,am,5
2011/1/7,1,winter,11,2011,no,1.4000000000000004,-2.998,40,15.0013,19,48,67,1,am,5
2011/1/7,1,winter,12,2011,no,1.4000000000000004,-2.998,37,16.997899999999998,9,50,59,1,am,5
2011/1/7,1,winter,13,2011,no,1.4000000000000004,-4.0012,37,19.0012,9,64,73,1,pm,5
2011/1/7,1,winter,14,2011,no,1.4000000000000004,-2.998,40,16.997899999999998,7,43,50,1,pm,5
2011/1/7,1,winter,15,2011,no,1.4000000000000004,-2.0014,37,11.0014,9,63,72,1,pm,5
2011/1/7,1,winter,16,2011,no,1.4000000000000004,-2.0014,37,11.0014,5,82,87,1,pm,5
2011/1/7,1,winter,17,2011,no,1.4000000000000004,1.0015999999999998,37,0,9,178,187,1,pm,5
2011/1/7,1,winter,18,2011,no,1.4000000000000004,-0.9982,40,6.0032,7,116,123,1,pm,5
2011/1/7,1,winter,19,2011,no,-0.48,-2.998,55.00000000000001,6.0032,3,92,95,1,pm,5
2011/1/7,1,winter,20,2011,no,0.4599999999999991,-2.0014,47,7.0015,1,50,51,1,pm,5
2011/1/7,1,winter,21,2011,no,0.4599999999999991,-2.998,47,8.9981,0,39,39,1,pm,5
2011/1/7,1,winter,22,2011,no,0.4599999999999991,-2.998,43,11.0014,2,34,36,1,pm,5
2011/1/7,1,winter,23,2011,no,0.4599999999999991,-2.998,51,11.0014,1,14,15,1,pm,5
2011/1/8,1,winter,0,2011,no,0.4599999999999991,-2.998,51,11.0014,1,24,25,0,am,6
2011/1/8,1,winter,1,2011,no,0.4599999999999991,-2.0014,55.00000000000001,6.0032,1,15,16,0,am,6
2011/1/8,1,winter,2,2011,no,0.4599999999999991,-0.0016,55.00000000000001,0,3,13,16,0,am,6
2011/1/8,1,winter,3,2011,no,0.4599999999999991,-2.998,55.00000000000001,11.0014,0,7,7,0,am,6
2011/1/8,1,winter,4,2011,no,0.4599999999999991,-2.998,55.00000000000001,11.0014,0,1,1,0,am,6
2011/1/8,1,winter,5,2011,no,-0.48,-4.9978,74,11.0014,0,5,5,0,am,6
2011/1/8,1,winter,6,2011,no,-0.48,-4.9978,74,11.0014,0,2,2,0,am,6
2011/1/8,1,winter,7,2011,no,-0.48,-4.0012,74,7.0015,1,8,9,0,am,6
2011/1/8,1,winter,8,2011,no,-0.48,-4.0012,93,7.0015,0,15,15,0,am,6
2011/1/8,1,winter,9,2011,no,-0.48,-4.0012,93,7.0015,0,20,20,0,am,6
2011/1/8,1,winter,10,2011,no,0.4599999999999991,-2.998,80,11.0014,5,56,61,0,am,6
2011/1/8,1,winter,11,2011,no,1.4000000000000004,-4.0012,69,26.0027,2,60,62,0,am,6
2011/1/8,1,winter,12,2011,no,1.4000000000000004,-4.0012,59,23.9994,8,90,98,0,am,6
2011/1/8,1,winter,13,2011,no,1.4000000000000004,-4.0012,44,22.0028,7,95,102,0,pm,6
2011/1/8,1,winter,14,2011,no,1.4000000000000004,-4.9978,32,32.9975,12,83,95,0,pm,6
2011/1/8,1,winter,15,2011,no,1.4000000000000004,-4.9978,32,30.0026,5,69,74,0,pm,6
2011/1/8,1,winter,16,2011,no,0.4599999999999991,-6.9976,29,30.0026,8,68,76,0,pm,6
2011/1/8,1,winter,17,2011,no,-0.48,-8.0008,37,36.9974,5,64,69,0,pm,6
2011/1/8,1,winter,18,2011,no,-1.42,-8.0008,39,19.9995,3,52,55,0,pm,6
2011/1/8,1,winter,19,2011,no,-1.42,-8.0008,36,16.997899999999998,4,26,30,0,pm,6
2011/1/8,1,winter,20,2011,no,-2.36,-8.0008,36,16.997899999999998,0,28,28,0,pm,6
2011/1/8,1,winter,21,2011,no,-2.36,-8.9974,39,23.9994,2,35,37,0,pm,6
2011/1/8,1,winter,22,2011,no,-2.36,-8.9974,36,26.0027,1,33,34,0,pm,6
2011/1/8,1,winter,23,2011,no,-3.3,-12.0004,39,30.0026,0,22,22,0,pm,6
2011/1/9,1,winter,0,2011,no,-3.3,-10.9972,42,26.0027,1,24,25,1,am,0
2011/1/9,1,winter,1,2011,no,-3.3,-12.0004,42,31.0009,0,12,12,1,am,0
2011/1/9,1,winter,2,2011,no,-3.3,-12.0004,46,31.0009,0,11,11,1,am,0
2011/1/9,1,winter,3,2011,no,-3.3,-10.9972,46,27.9993,0,4,4,1,am,0
2011/1/9,1,winter,4,2011,no,-4.24,-10.0006,53,12.998,0,1,1,1,am,0
2011/1/9,1,winter,5,2011,no,-4.24,-10.0006,53,12.998,0,1,1,1,am,0
2011/1/9,1,winter,6,2011,no,-3.3,-10.0006,49,19.0012,0,1,1,1,am,0
2011/1/9,1,winter,7,2011,no,-4.24,-10.0006,53,12.998,1,5,6,1,am,0
2011/1/9,1,winter,8,2011,no,-3.3,-10.0006,49,19.0012,0,10,10,1,am,0
2011/1/9,1,winter,9,2011,no,-2.36,-10.9972,46,35.0008,0,19,19,1,am,0
2011/1/9,1,winter,10,2011,no,-1.42,-8.9974,43,26.0027,0,49,49,1,am,0
2011/1/9,1,winter,11,2011,no,-0.48,-8.0008,40,35.0008,2,47,49,1,am,0
2011/1/9,1,winter,12,2011,no,0.4599999999999991,-6.9976,37,30.0026,4,79,83,1,am,0
2011/1/9,1,winter,13,2011,no,1.4000000000000004,-4.9978,34,30.0026,6,69,75,1,pm,0
2011/1/9,1,winter,14,2011,no,2.34,-4.0012,32,31.0009,8,64,72,1,pm,0
2011/1/9,1,winter,15,2011,no,2.34,-2.998,35,23.9994,5,77,82,1,pm,0
2011/1/9,1,winter,16,2011,no,1.4000000000000004,-4.9978,34,30.0026,13,79,92,1,pm,0
2011/1/9,1,winter,17,2011,no,0.4599999999999991,-6.001,37,26.0027,3,59,62,1,pm,0
2011/1/9,1,winter,18,2011,no,-0.48,-6.9976,40,22.0028,4,44,48,1,pm,0
2011/1/9,1,winter,19,2011,no,-0.48,-6.9976,43,22.0028,1,40,41,1,pm,0
2011/1/9,1,winter,20,2011,no,-1.42,-8.0008,46,16.997899999999998,0,38,38,1,pm,0
2011/1/9,1,winter,21,2011,no,-1.42,-8.9974,46,27.9993,1,19,20,1,pm,0
2011/1/9,1,winter,22,2011,no,-1.42,-8.0008,46,19.9995,5,10,15,1,pm,0
2011/1/9,1,winter,23,2011,no,-2.36,-6.9976,50,12.998,0,6,6,1,pm,0
2012/6/1,6,summer,0,2012,no,23.020000000000003,24.9992,50,16.997899999999998,10,76,86,1,am,5
2012/6/1,6,summer,1,2012,no,22.08,24.9992,53,15.0013,0,34,34,1,am,5
2012/6/1,6,summer,2,2012,no,22.08,24.9992,56.99999999999999,15.0013,3,13,16,1,am,5
2012/6/1,6,summer,3,2012,no,21.14,22.9994,73,6.0032,0,4,4,1,am,5
2012/6/1,6,summer,4,2012,no,21.14,22.9994,73,6.0032,1,5,6,1,am,5
2012/6/1,6,summer,5,2012,no,21.14,22.9994,78,6.0032,4,41,45,1,am,5
2012/6/1,6,summer,6,2012,no,21.14,20.9996,88,8.9981,5,136,141,1,am,5
2012/6/1,6,summer,7,2012,no,22.08,22.0028,89,12.998,33,369,402,1,am,5
2012/6/1,6,summer,8,2012,no,22.08,22.0028,89,12.998,19,675,694,1,am,5
2012/6/1,6,summer,9,2012,no,22.08,22.0028,83,15.0013,24,274,298,1,am,5
2012/6/1,6,summer,10,2012,no,23.020000000000003,24.0026,78,19.0012,49,155,204,1,am,5
2012/6/1,6,summer,11,2012,no,24.9,28.002199999999995,74,19.0012,42,193,235,1,am,5
2012/6/1,6,summer,12,2012,no,24.9,28.002199999999995,74,23.9994,72,238,310,1,am,5
2012/6/1,6,summer,13,2012,no,25.84,28.9988,70,19.9995,76,240,316,1,pm,5
2012/6/1,6,summer,14,2012,no,25.84,28.9988,66,19.0012,55,199,254,1,pm,5
2012/6/1,6,summer,15,2012,no,25.84,28.9988,66,19.0012,45,213,258,1,pm,5
2012/6/1,6,summer,16,2012,no,26.78,28.9988,57.99999999999999,30.0026,36,186,222,1,pm,5
2012/6/1,6,summer,17,2012,no,24.9,26.998999999999995,70,16.997899999999998,25,202,227,1,pm,5
2012/6/1,6,summer,18,2012,no,21.14,20.9996,88,23.9994,10,100,110,1,pm,5
2012/6/1,6,summer,19,2012,no,21.14,20.9996,88,23.9994,4,41,45,1,pm,5
2012/6/1,6,summer,20,2012,no,21.14,20.003,94,16.997899999999998,1,38,39,1,pm,5
2012/6/1,6,summer,21,2012,no,22.08,22.9994,78,16.997899999999998,12,73,85,1,pm,5
2012/6/1,6,summer,22,2012,no,20.2,20.003,88,8.9981,1,22,23,1,pm,5
2012/6/1,6,summer,23,2012,no,20.2,20.003,88,8.9981,6,67,73,1,pm,5
2012/6/2,6,summer,0,2012,no,18.320000000000004,18.9998,83,8.9981,5,81,86,0,am,6
2012/6/2,6,summer,1,2012,no,18.320000000000004,18.9998,83,7.0015,15,61,76,0,am,6
2012/6/2,6,summer,2,2012,no,17.380000000000003,18.0032,88,0,3,38,41,0,am,6
2012/6/2,6,summer,3,2012,no,18.320000000000004,18.9998,73,16.997899999999998,8,18,26,0,am,6
2012/6/2,6,summer,4,2012,no,17.380000000000003,18.0032,68,19.0012,2,11,13,0,am,6
2012/6/2,6,summer,5,2012,no,15.5,15.9968,72,12.998,1,11,12,0,am,6
2012/6/2,6,summer,6,2012,no,15.5,15.9968,77,12.998,5,31,36,0,am,6
2012/6/2,6,summer,7,2012,no,16.44,17,72,7.0015,9,77,86,0,am,6
2012/6/2,6,summer,8,2012,no,17.380000000000003,18.0032,64,11.0014,30,180,210,0,am,6
2012/6/2,6,summer,9,2012,no,18.320000000000004,18.9998,60,16.997899999999998,89,243,332,0,am,6
2012/6/2,6,summer,10,2012,no,20.2,24.9992,53,19.9995,145,348,493,0,am,6
2012/6/2,6,summer,11,2012,no,19.26,20.003,46,19.0012,179,357,536,0,am,6
2012/6/2,6,summer,12,2012,no,21.14,24.9992,43,23.9994,250,418,668,0,am,6
2012/6/2,6,summer,13,2012,no,21.14,24.9992,41,16.997899999999998,279,400,679,0,pm,6
2012/6/2,6,summer,14,2012,no,22.08,24.9992,38,19.9995,259,388,647,0,pm,6
2012/6/2,6,summer,15,2012,no,22.08,24.9992,38,16.997899999999998,297,405,702,0,pm,6
2012/6/2,6,summer,16,2012,no,22.08,24.9992,38,16.997899999999998,275,369,644,0,pm,6
2012/6/2,6,summer,17,2012,no,22.08,24.9992,36,0,248,338,586,0,pm,6
2012/6/2,6,summer,18,2012,no,22.08,24.9992,36,0,171,341,512,0,pm,6
2012/6/2,6,summer,19,2012,no,22.08,24.9992,36,11.0014,185,369,554,0,pm,6
2012/6/2,6,summer,20,2012,no,21.14,24.9992,35,19.0012,139,260,399,0,pm,6
2012/6/2,6,summer,21,2012,no,20.2,24.9992,40,7.0015,96,220,316,0,pm,6
2012/6/2,6,summer,22,2012,no,19.26,20.003,46,8.9981,52,176,228,0,pm,6
2012/6/2,6,summer,23,2012,no,18.320000000000004,18.9998,52,7.0015,53,185,238,0,pm,6
2012/6/3,6,summer,0,2012,no,17.380000000000003,18.0032,60,11.0014,27,142,169,1,am,0
2012/6/3,6,summer,1,2012,no,17.380000000000003,18.0032,56.00000000000001,8.9981,21,100,121,1,am,0
2012/6/3,6,summer,2,2012,no,16.44,17,59,7.0015,22,67,89,1,am,0
2012/6/3,6,summer,3,2012,no,16.44,17,63,7.0015,16,34,50,1,am,0
2012/6/3,6,summer,4,2012,no,15.5,15.9968,72,6.0032,1,12,13,1,am,0
2012/6/3,6,summer,5,2012,no,15.5,15.9968,68,0,1,11,12,1,am,0
2012/6/3,6,summer,6,2012,no,13.62,13.997,82,7.0015,6,16,22,1,am,0
2012/6/3,6,summer,7,2012,no,15.5,15.9968,68,7.0015,6,29,35,1,am,0
2012/6/3,6,summer,8,2012,no,17.380000000000003,18.0032,60,6.0032,30,110,140,1,am,0
2012/6/3,6,summer,9,2012,no,20.2,24.9992,46,12.998,70,230,300,1,am,0
2012/6/3,6,summer,10,2012,no,21.14,24.9992,43,15.0013,127,277,404,1,am,0
2012/6/3,6,summer,11,2012,no,22.08,24.9992,41,16.997899999999998,199,312,511,1,am,0
2012/6/3,6,summer,12,2012,no,23.020000000000003,24.9992,39,19.9995,276,408,684,1,am,0
2012/6/3,6,summer,13,2012,no,23.96,26.002399999999994,36,19.0012,265,421,686,1,pm,0
2012/6/3,6,summer,14,2012,no,23.96,26.002399999999994,36,22.0028,267,411,678,1,pm,0
